Txn Date,Value Date,Narration,Chq/Ref No,Withdrawal Amt.,Deposit Amt.,Closing Balance
20/01/25,20/01/25,UPI/NETFLIX BILLDESK/384212/PAYMENT,demo:family:0,649.00,,"249,351.00"
20/01/25,20/01/25,NEFT-VIJAY MEHTA-6467-RENT,demo:family:134,"32,000.00",,"217,351.00"
20/01/25,20/01/25,SALARY GLOBEX CONSULTING PVT LTD 401543,demo:family:152,,"185,000.00","402,351.00"
20/01/25,20/01/25,ACH-D- SBILOAN HOME EMI 783850,demo:family:170,"42,000.00",,"360,351.00"
20/01/25,20/01/25,UPI/HOTSTARSUB/425794/PAYMENT,demo:family:18,299.00,,"360,052.00"
20/01/25,20/01/25,ACH-D- ICICILOAN CAR EMI 344272,demo:family:188,"18,500.00",,"341,552.00"
20/01/25,20/01/25,ACH-D- KUVERA AXIS BLUECHIP SIP,demo:family:206,"15,000.00",,"326,552.00"
20/01/25,20/01/25,TATA POWER BILL 608624,demo:family:242,"4,844.98",,"321,707.02"
20/01/25,20/01/25,UPI/AMAZONPAY/479016/PAYMENT,demo:family:268,"1,662.02",,"320,045.00"
20/01/25,20/01/25,POS 9207XXXX1102 SWIGGY BUNDL TECH HYDERABAD,demo:family:351,565.50,,"319,479.50"
20/01/25,20/01/25,POS 9207XXXX1102 SWIGGY BUNDL TECH DELHI,demo:family:413,244.42,,"319,235.08"
20/01/25,20/01/25,UPI/ZEE5SUB/371153/PAYMENT,demo:family:42,199.00,,"319,036.08"
20/01/25,20/01/25,UPI/ZOMATO/294836/PAYMENT,demo:family:420,750.00,,"318,286.08"
20/01/25,20/01/25,UPI/ZOMATO/246655/PAYMENT,demo:family:450,750.00,,"317,536.08"
20/01/25,20/01/25,UPI/SWIGGY/415631/PAYMENT,demo:family:477,222.88,,"317,313.20"
20/01/25,20/01/25,POS 9207XXXX1102 UBER INDIA SYSTEMS MUMBAI,demo:family:479,316.07,,"316,997.13"
20/01/25,20/01/25,UPI/ARJUN4841@OKHDFCBANK/510197/PAYMENT,demo:family:499,"1,250.00",,"315,747.13"
20/01/25,20/01/25,NEFT-AMAZONSELLER-7672-RTGS,demo:family:509,"4,500.00",,"311,247.13"
20/01/25,20/01/25,UPI/PRIYA1607@OKAXIS/962631/PAYMENT,demo:family:521,850.00,,"310,397.13"
20/01/25,20/01/25,UPI/SWIGGYUPI/181738/PAY,demo:family:543,427.49,,"309,969.64"
20/01/25,20/01/25,UPI/AMAZONPRIME/622620/PAYMENT,demo:family:60,"1,499.00",,"308,470.64"
20/01/25,20/01/25,UPI/AMAZONPAY/414409/PAYMENT,demo:family:607,"1,505.25",,"306,965.39"
20/01/25,20/01/25,UPI/ACTFIBERNET/131697/PAYMENT,demo:family:62,"1,349.00",,"305,616.39"
20/01/25,20/01/25,POS 9207XXXX1102 UBER INDIA SYSTEMS GURGAON,demo:family:678,328.77,,"305,287.62"
20/01/25,20/01/25,UPI/BHARATPETRO/175893/PAYMENT,demo:family:679,"3,000.00",,"302,287.62"
20/01/25,20/01/25,NEFT-AMAZONSELLER-2196-RTGS,demo:family:692,"1,579.88",,"300,707.74"
20/01/25,20/01/25,POS 9207XXXX1102 ZOMATO LTD CHENNAI,demo:family:718,360.42,,"300,347.32"
20/01/25,20/01/25,UPI/UBERINDIA/129486/PAYMENT,demo:family:770,164.92,,"300,182.40"
20/01/25,20/01/25,UPI/UBERINDIA/951816/PAYMENT,demo:family:793,274.59,,"299,907.81"
20/01/25,20/01/25,UPI/AIRTELPOSTPAID/285478/PAYMENT,demo:family:80,999.00,,"298,908.81"
20/01/25,20/01/25,UPI/CULTFIT/529898/PAYMENT,demo:family:98,"2,499.00",,"296,409.81"
21/01/25,21/01/25,CC PAYMENT AUTOPAY AXIS 6304,demo:family:224,"25,011.15",,"271,398.66"
21/01/25,21/01/25,UPI/ARJUN6643@OKHDFCBANK/259490/PAYMENT,demo:family:659,500.00,,"270,898.66"
21/01/25,21/01/25,UPI/SWIGGY/920389/PAYMENT,demo:family:748,382.96,,"270,515.70"
22/01/25,22/01/25,POS 9207XXXX1102 HP PETRO PUMP HYDERABAD,demo:family:730,"2,310.00",,"268,205.70"
23/01/25,23/01/25,POS 9207XXXX1102 UBER INDIA SYSTEMS DELHI,demo:family:626,328.61,,"267,877.09"
24/01/25,24/01/25,UPI/SONYLIVSUB/329832/PAYMENT,demo:family:24,299.00,,"267,578.09"
24/01/25,24/01/25,POS 9207XXXX1102 INDIAN OIL DELHI,demo:family:374,"1,130.00",,"266,448.09"
24/01/25,24/01/25,POS 9207XXXX1102 SWIGGY BUNDL TECH MUMBAI,demo:family:642,257.54,,"266,190.55"
25/01/25,25/01/25,UPI/UBERINDIA/186545/PAYMENT,demo:family:747,285.98,,"265,904.57"
26/01/25,26/01/25,IMPS-P2A-812397-ROHIT SHARMA,demo:family:404,700.00,,"265,204.57"
26/01/25,26/01/25,UPI/ZOMATO/365285/PAYMENT,demo:family:695,750.00,,"264,454.57"
27/01/25,27/01/25,UPI/SWIGGY/235554/PAYMENT,demo:family:600,247.32,,"264,207.25"
27/01/25,27/01/25,POS 9207XXXX1102 SWIGGY BUNDL TECH MUMBAI,demo:family:734,299.36,,"263,907.89"
28/01/25,28/01/25,UPI/SWIGGYONE/721988/PAYMENT,demo:family:116,1.00,,"263,906.89"
29/01/25,29/01/25,UPI/UBERINDIA/125735/PAYMENT,demo:family:421,338.37,,"263,568.52"
30/01/25,30/01/25,UPI/BHARATPETRO/532108/PAYMENT,demo:family:278,"1,170.00",,"262,398.52"
31/01/25,31/01/25,UPI/PRIYA2344@OKAXIS/658396/PAYMENT,demo:family:744,300.00,,"262,098.52"
01/02/25,01/02/25,NEFT-GLOBEX CONSULTING-5815-SALARY,demo:family:153,,"185,000.00","447,098.52"
01/02/25,01/02/25,UPI/AMAZONPAY/515209/PAYMENT,demo:family:572,"4,500.00",,"442,598.52"
02/02/25,02/02/25,IMPS-P2A-674246-VIJAY MEHTA RENT,demo:family:135,"32,000.00",,"410,598.52"
02/02/25,02/02/25,ACH-D- ATRIA CONVERGENCE TECHNOLOGIES,demo:family:63,"1,349.00",,"409,249.52"
02/02/25,02/02/25,UPI/UBERINDIA/973120/PAYMENT,demo:family:703,600.00,,"408,649.52"
02/02/25,02/02/25,POS 9207XXXX1102 SWIGGY BUNDL TECH BENGALURU,demo:family:737,402.67,,"408,246.85"
03/02/25,03/02/25,POS 9207XXXX1102 SWIGGY BUNDL TECH CHENNAI,demo:family:526,401.23,,"407,845.62"
03/02/25,03/02/25,UPI/SWIGGY/909256/PAYMENT,demo:family:719,637.78,,"407,207.84"
04/02/25,04/02/25,IMPS-P2A-292478-ROHIT SHARMA,demo:family:287,"1,350.00",,"405,857.84"
07/02/25,07/02/25,EMI SBI HOME LOAN 127081,demo:family:171,"42,000.00",,"363,857.84"
08/02/25,08/02/25,ACH-D- NETFLIX ENTERTAINMENT SERVICES,demo:family:1,649.00,,"363,208.84"
08/02/25,08/02/25,ACH-D- ZEE ENTERTAINMENT ENTERPRISES,demo:family:43,199.00,,"363,009.84"
10/02/25,10/02/25,NACH-SIP KUVERA-6982-MF,demo:family:207,"15,000.00",,"348,009.84"
12/02/25,12/02/25,ACH-D- CUREFIT HEALTHCARE PVT LTD,demo:family:99,"2,499.00",,"345,510.84"
13/02/25,13/02/25,UPI/TATAPOWERDL/511185/PAYMENT,demo:family:243,"4,279.02",,"341,231.82"
13/02/25,13/02/25,UPI/MEGHA4364@YBL/312440/PAYMENT,demo:family:577,"2,000.00",,"339,231.82"
14/02/25,14/02/25,UPI/ZOMATO/618879/PAYMENT,demo:family:387,514.62,,"338,717.20"
15/02/25,15/02/25,UPI/SWIGGY/113090/PAYMENT,demo:family:766,277.29,,"338,439.91"
16/02/25,16/02/25,NACH-ICICI BANK LOAN-6415,demo:family:189,"18,500.00",,"319,939.91"
16/02/25,16/02/25,UPI/SWIGGYUPI/456312/PAY,demo:family:468,700.00,,"319,239.91"
18/02/25,18/02/25,UPI/ZOMATO/519100/PAYMENT,demo:family:333,462.44,,"318,777.47"
18/02/25,18/02/25,UPI/ARJUN3194@OKHDFCBANK/516124/PAYMENT,demo:family:343,450.00,,"318,327.47"
18/02/25,18/02/25,UPI/SWIGGY/570799/PAYMENT,demo:family:554,324.64,,"318,002.83"
19/02/25,19/02/25,POS 9207XXXX1102 AMAZON.IN CHENNAI,demo:family:540,"4,500.00",,"313,502.83"
19/02/25,19/02/25,ACH-D- BHARTI AIRTEL LIMITED,demo:family:81,999.00,,"312,503.83"
21/02/25,21/02/25,AUTOPAY CARD PAYMENT 634845,demo:family:225,"43,166.01",,"269,337.82"
21/02/25,21/02/25,UPI/SWIGGYUPI/252633/PAY,demo:family:322,205.22,,"269,132.60"
21/02/25,21/02/25,POS 9207XXXX1102 UBER INDIA SYSTEMS HYDERABAD,demo:family:467,600.00,,"268,532.60"
21/02/25,21/02/25,POS 9207XXXX1102 ZOMATO LTD CHENNAI,demo:family:575,400.33,,"268,132.27"
21/02/25,21/02/25,POS 9207XXXX1102 ZOMATO LTD GURGAON,demo:family:741,281.01,,"267,851.26"
23/02/25,23/02/25,UPI/ZOMATO/212103/PAYMENT,demo:family:309,602.50,,"267,248.76"
23/02/25,23/02/25,POS 9207XXXX1102 AMAZON.IN DELHI,demo:family:570,"2,145.26",,"265,103.50"
23/02/25,23/02/25,POS 9207XXXX1102 UBER INDIA SYSTEMS CHENNAI,demo:family:664,400.05,,"264,703.45"
24/02/25,24/02/25,ACH-D- SONY PICTURES NETWORKS INDIA,demo:family:25,299.00,,"264,404.45"
24/02/25,24/02/25,NEFT-AMAZONSELLER-6930-RTGS,demo:family:525,"2,072.93",,"262,331.52"
25/02/25,25/02/25,POS 9207XXXX1102 UBER INDIA SYSTEMS CHENNAI,demo:family:464,321.00,,"262,010.52"
25/02/25,25/02/25,UPI/AMAZONPAY/752583/PAYMENT,demo:family:497,598.75,,"261,411.77"
25/02/25,25/02/25,POS 9207XXXX1102 SWIGGY BUNDL TECH MUMBAI,demo:family:639,220.28,,"261,191.49"
26/02/25,26/02/25,POS 9207XXXX1102 AMAZON.IN CHENNAI,demo:family:699,"2,613.26",,"258,578.23"
27/02/25,27/02/25,SALARY GLOBEX CONSULTING PVT LTD 742743,demo:family:154,,"185,000.00","443,578.23"
27/02/25,27/02/25,POS 9207XXXX1102 UBER INDIA SYSTEMS PUNE,demo:family:731,207.25,,"443,370.98"
28/02/25,28/02/25,NEFT-VIJAY MEHTA-7064-RENT,demo:family:136,"32,000.00",,"411,370.98"
28/02/25,28/02/25,NEFT-AMAZONSELLER-6972-RTGS,demo:family:445,"1,571.24",,"409,799.74"
28/02/25,28/02/25,POS 9207XXXX1102 ZOMATO LTD GURGAON,demo:family:576,328.60,,"409,471.14"
28/02/25,28/02/25,POS 9207XXXX1102 HP PETRO PUMP BENGALURU,demo:family:736,"3,000.00",,"406,471.14"
01/03/25,01/03/25,UPI/MEGHA1905@YBL/223357/PAYMENT,demo:family:395,850.00,,"405,621.14"
01/03/25,01/03/25,UPI/ZOMATO/519960/PAYMENT,demo:family:431,305.84,,"405,315.30"
02/03/25,02/03/25,ACH-D- BUNDL TECHNOLOGIES PVT LTD,demo:family:117,99.00,,"405,216.30"
02/03/25,02/03/25,NEFT-ACTFIBER-8598-RTGS,demo:family:64,"1,349.00",,"403,867.30"
04/03/25,04/03/25,POS 9207XXXX1102 ZOMATO LTD HYDERABAD,demo:family:302,476.49,,"403,390.81"
04/03/25,04/03/25,POS 9207XXXX1102 UBER INDIA SYSTEMS HYDERABAD,demo:family:416,163.07,,"403,227.74"
