Txn Date,Value Date,Narration,Chq/Ref No,Withdrawal Amt.,Deposit Amt.,Closing Balance
20/01/25,20/01/25,UPI/NETFLIX BILLDESK/275534/PAYMENT,demo:student:0,199.00,,"249,801.00"
20/01/25,20/01/25,UPI/JIORECHARGE/422740/PAYMENT,demo:student:110,299.00,,"249,502.00"
20/01/25,20/01/25,NEFT-SUNITA PG-9512-RENT,demo:student:128,"8,500.00",,"241,002.00"
20/01/25,20/01/25,NEFT-PARENT TRANSFER-2334-MONTHLY,demo:student:146,,"15,000.00","256,002.00"
20/01/25,20/01/25,ACH-D- BAJAJFIN EMI 832614,demo:student:164,"2,499.00",,"253,503.00"
20/01/25,20/01/25,UPI/SPOTIFYINDIA/256973/PAYMENT,demo:student:18,59.00,,"253,444.00"
20/01/25,20/01/25,ACH-D- HDB FINANCIAL EMI 638297,demo:student:182,"3,200.00",,"250,244.00"
20/01/25,20/01/25,ACH-D- ZERODHA COIN SIP,demo:student:200,"1,000.00",,"249,244.00"
20/01/25,20/01/25,MSEB BILL PAYMENT 288795,demo:student:236,450.04,,"248,793.96"
20/01/25,20/01/25,UPI/ZOMATO/322368/PAYMENT,demo:student:293,750.00,,"248,043.96"
20/01/25,20/01/25,POS 8821XXXX1102 SWIGGY BUNDL TECH MUMBAI,demo:student:344,280.88,,"247,763.08"
20/01/25,20/01/25,UPI/UBERINDIA/602849/PAYMENT,demo:student:345,437.83,,"247,325.25"
20/01/25,20/01/25,UPI/JIOSAAVN/478598/PAYMENT,demo:student:36,99.00,,"247,226.25"
20/01/25,20/01/25,UPI/SWIGGY/713476/PAYMENT,demo:student:385,470.52,,"246,755.73"
20/01/25,20/01/25,IMPS-P2A-102213-ROHIT SHARMA,demo:student:405,600.00,,"246,155.73"
20/01/25,20/01/25,POS 8821XXXX1102 UBER INDIA SYSTEMS CHENNAI,demo:student:449,195.76,,"245,959.97"
20/01/25,20/01/25,UPI/PRIYA5032@OKAXIS/174355/PAYMENT,demo:student:468,"1,700.00",,"244,259.97"
20/01/25,20/01/25,UPI/MEGHA5447@YBL/968456/PAYMENT,demo:student:509,900.00,,"243,359.97"
20/01/25,20/01/25,ATM WDL PUNE 581933,demo:student:529,"1,500.00",,"241,859.97"
20/01/25,20/01/25,UPI/GOOGLEYOUTUBE/373769/PAYMENT,demo:student:54,129.00,,"241,730.97"
20/01/25,20/01/25,POS 8821XXXX1102 ZOMATO LTD MUMBAI,demo:student:552,335.52,,"241,395.45"
20/01/25,20/01/25,UPI/ARJUN5061@OKHDFCBANK/292502/PAYMENT,demo:student:592,350.00,,"241,045.45"
20/01/25,20/01/25,UPI/PRIYA6810@OKAXIS/414337/PAYMENT,demo:student:594,300.00,,"240,745.45"
20/01/25,20/01/25,POS 8821XXXX1102 UBER INDIA SYSTEMS GURGAON,demo:student:601,273.99,,"240,471.46"
20/01/25,20/01/25,UPI/BHARATPETRO/298489/PAYMENT,demo:student:603,"1,450.00",,"239,021.46"
20/01/25,20/01/25,UPI/UBERINDIA/113638/PAYMENT,demo:student:620,454.78,,"238,566.68"
20/01/25,20/01/25,UPI/AMAZONPAY/561535/PAYMENT,demo:student:638,"2,027.97",,"236,538.71"
20/01/25,20/01/25,IMPS-P2A-624524-ROHIT SHARMA,demo:student:648,"1,300.00",,"235,238.71"
20/01/25,20/01/25,UPI/SWIGGY/576227/PAYMENT,demo:student:652,313.48,,"234,925.23"
20/01/25,20/01/25,IMPS-P2A-169004-ROHIT SHARMA,demo:student:674,"2,000.00",,"232,925.23"
20/01/25,20/01/25,UPI/AMAZONPAY/226645/PAYMENT,demo:student:677,"1,246.39",,"231,678.84"
20/01/25,20/01/25,UPI/IRCTCUPI/645050/PAYMENT,demo:student:680,868.57,,"230,810.27"
20/01/25,20/01/25,UPI/ZOMATO/283693/PAYMENT,demo:student:686,750.00,,"230,060.27"
20/01/25,20/01/25,POS 8821XXXX1102 ZOMATO LTD PUNE,demo:student:698,321.18,,"229,739.09"
20/01/25,20/01/25,UPI/AMAZONPAY/620798/PAYMENT,demo:student:714,"1,260.14",,"228,478.95"
20/01/25,20/01/25,UPI/PRIYA8609@OKAXIS/913366/PAYMENT,demo:student:777,"1,200.00",,"227,278.95"
20/01/25,20/01/25,UPI/CANVAPTY/341580/PAYMENT,demo:student:90,499.00,,"226,779.95"
21/01/25,21/01/25,CC PAYMENT AUTOPAY ICICI 8312,demo:student:218,"3,084.63",,"223,695.32"
21/01/25,21/01/25,POS 8821XXXX1102 AMAZON.IN DELHI,demo:student:381,"1,121.33",,"222,573.99"
21/01/25,21/01/25,UPI/PRIYA9336@OKAXIS/994043/PAYMENT,demo:student:613,950.00,,"221,623.99"
22/01/25,22/01/25,UPI/OPENAI/699681/PAYMENT,demo:student:72,0.00,,"221,623.99"
23/01/25,23/01/25,UPI/SWIGGY/927877/PAYMENT,demo:student:533,343.08,,"221,280.91"
23/01/25,23/01/25,POS 8821XXXX1102 SWIGGY BUNDL TECH CHENNAI,demo:student:599,206.59,,"221,074.32"
25/01/25,25/01/25,UPI/SWIGGY/214965/PAYMENT,demo:student:268,258.89,,"220,815.43"
25/01/25,25/01/25,UPI/ZOMATO/412726/PAYMENT,demo:student:624,248.63,,"220,566.80"
27/01/25,27/01/25,UPI/GOOGLEONE/373610/PAYMENT,demo:student:108,"1,300.00",,"219,266.80"
29/01/25,29/01/25,UPI/PRIYA2369@OKAXIS/819257/PAYMENT,demo:student:537,300.00,,"218,966.80"
01/02/25,01/02/25,UPI/UBERINDIA/103551/PAYMENT,demo:student:265,318.12,,"218,648.68"
02/02/25,02/02/25,ACH-D- RELIANCE JIO INFOCOMM,demo:student:111,299.00,,"218,349.68"
02/02/25,02/02/25,IMPS-P2A-855944-PG HOSTEL RENT,demo:student:129,"8,500.00",,"209,849.68"
02/02/25,02/02/25,POS 8821XXXX1102 SWIGGY BUNDL TECH PUNE,demo:student:420,492.88,,"209,356.80"
03/02/25,03/02/25,POS 8821XXXX1102 INDIAN OIL DELHI,demo:student:583,990.00,,"208,366.80"
03/02/25,03/02/25,POS 8821XXXX1102 UBER INDIA SYSTEMS BENGALURU,demo:student:708,597.78,,"207,769.02"
04/02/25,04/02/25,IMPS-P2A-417974-SURESH KALA,demo:student:147,,"15,000.00","222,769.02"
04/02/25,04/02/25,POS 8821XXXX1102 UBER INDIA SYSTEMS MUMBAI,demo:student:362,281.31,,"222,487.71"
05/02/25,05/02/25,ACH-D- SPOTIFY INDIA LLP,demo:student:19,59.00,,"222,428.71"
05/02/25,05/02/25,UPI/UBERINDIA/267655/PAYMENT,demo:student:338,208.90,,"222,219.81"
06/02/25,06/02/25,NACH-BAJAJ FINSERV-5963,demo:student:165,"2,499.00",,"219,720.81"
06/02/25,06/02/25,UPI/ZOMATO/182491/PAYMENT,demo:student:666,547.15,,"219,173.66"
08/02/25,08/02/25,UPI/SWIGGY/633151/PAYMENT,demo:student:458,345.18,,"218,828.48"
08/02/25,08/02/25,ACH-D- GOOGLE INDIA PVT LTD YT,demo:student:55,129.00,,"218,699.48"
08/02/25,08/02/25,UPI/SWIGGYUPI/302051/PAY,demo:student:610,700.00,,"217,999.48"
09/02/25,09/02/25,NACH-SIP ZERODHA-7319-MF,demo:student:201,"1,000.00",,"216,999.48"
09/02/25,09/02/25,UPI/ZOMATO/872226/PAYMENT,demo:student:273,288.26,,"216,711.22"
11/02/25,11/02/25,UPI/UBERINDIA/805540/PAYMENT,demo:student:383,208.15,,"216,503.07"
13/02/25,13/02/25,ACH-D- NETFLIX ENTERTAINMENT SERVICES,demo:student:1,199.00,,"216,304.07"
13/02/25,13/02/25,ACH-D- CANVA PTY LTD,demo:student:91,499.00,,"215,805.07"
14/02/25,14/02/25,UPI/MAHADISCOM/345591/PAYMENT,demo:student:237,596.66,,"215,208.41"
15/02/25,15/02/25,POS 8821XXXX1102 IRCTC NEW DELHI,demo:student:279,515.61,,"214,692.80"
15/02/25,15/02/25,IMPS-P2A-778356-ROHIT SHARMA,demo:student:363,"1,300.00",,"213,392.80"
16/02/25,16/02/25,UPI/AMAZONPAY/986664/PAYMENT,demo:student:741,"3,773.63",,"209,619.17"
17/02/25,17/02/25,EMI HDBFS 608329,demo:student:183,"3,200.00",,"206,419.17"
17/02/25,17/02/25,UPI/MEGHA3682@YBL/325293/PAYMENT,demo:student:404,650.00,,"205,769.17"
17/02/25,17/02/25,UPI/UBERINDIA/834701/PAYMENT,demo:student:496,323.52,,"205,445.65"
18/02/25,18/02/25,ACH-D- SAAVN MEDIA PVT LTD,demo:student:37,99.00,,"205,346.65"
18/02/25,18/02/25,UPI/ARJUN2106@OKHDFCBANK/122155/PAYMENT,demo:student:443,950.00,,"204,396.65"
18/02/25,18/02/25,UPI/ARJUN8394@OKHDFCBANK/765152/PAYMENT,demo:student:641,450.00,,"203,946.65"
19/02/25,19/02/25,UPI/ZOMATO/727379/PAYMENT,demo:student:668,450.65,,"203,496.00"
20/02/25,20/02/25,POS 8821XXXX1102 AMAZON.IN MUMBAI,demo:student:524,"2,472.24",,"201,023.76"
21/02/25,21/02/25,AUTOPAY CARD PAYMENT 643451,demo:student:219,"7,480.72",,"193,543.04"
21/02/25,21/02/25,POS 8821XXXX1102 UBER INDIA SYSTEMS PUNE,demo:student:411,483.13,,"193,059.91"
21/02/25,21/02/25,POS 8821XXXX1102 UBER INDIA SYSTEMS CHENNAI,demo:student:426,199.95,,"192,859.96"
21/02/25,21/02/25,UPI/ARJUN6759@OKHDFCBANK/594395/PAYMENT,demo:student:473,650.00,,"192,209.96"
22/02/25,22/02/25,POS 8821XXXX1102 AMAZON.IN HYDERABAD,demo:student:435,"2,979.09",,"189,230.87"
22/02/25,22/02/25,UPI/IRCTCUPI/380019/PAYMENT,demo:student:578,671.90,,"188,558.97"
22/02/25,22/02/25,POS 8821XXXX3310 OPENAI.COM SAN FRANCISCO,demo:student:73,"1,999.00",,"186,559.97"
23/02/25,23/02/25,UPI/SWIGGYUPI/345741/PAY,demo:student:678,700.00,,"185,859.97"
25/02/25,25/02/25,UPI/PRIYA5075@OKAXIS/351926/PAYMENT,demo:student:508,"1,400.00",,"184,459.97"
25/02/25,25/02/25,POS 8821XXXX1102 UBER INDIA SYSTEMS CHENNAI,demo:student:636,418.33,,"184,041.64"
27/02/25,27/02/25,POS 8821XXXX1102 SWIGGY BUNDL TECH BENGALURU,demo:student:560,261.39,,"183,780.25"
28/02/25,28/02/25,POS 8821XXXX1102 AMAZON.IN GURGAON,demo:student:566,"1,025.59",,"182,754.66"
01/03/25,01/03/25,ATM WDL GURGAON 561051,demo:student:534,"7,000.00",,"175,754.66"
02/03/25,02/03/25,NEFT-PARENT TRANSFER-4552-MONTHLY,demo:student:148,,"15,000.00","190,754.66"
02/03/25,02/03/25,POS 8821XXXX1102 SWIGGY BUNDL TECH DELHI,demo:student:675,463.74,,"190,290.92"
04/03/25,04/03/25,POS 8821XXXX3310 JIO.COM MUMBAI,demo:student:112,299.00,,"189,991.92"
04/03/25,04/03/25,POS 8821XXXX1102 SWIGGY BUNDL TECH BENGALURU,demo:student:632,700.00,,"189,291.92"
05/03/25,05/03/25,NEFT-SUNITA PG-9568-RENT,demo:student:130,"8,500.00",,"180,791.92"
05/03/25,05/03/25,UPI/SWIGGYUPI/520810/PAY,demo:student:471,622.08,,"180,169.84"
06/03/25,06/03/25,NEFT-SPOTIFYIN-3251-RTGS,demo:student:20,59.00,,"180,110.84"
06/03/25,06/03/25,POS 8821XXXX1102 ZOMATO LTD GURGAON,demo:student:476,339.67,,"179,771.17"
06/03/25,06/03/25,UPI/AMAZONPAY/296698/PAYMENT,demo:student:658,"2,356.35",,"177,414.82"
08/03/25,08/03/25,ACH-D- BAJAJFIN EMI 902840,demo:student:166,"2,499.00",,"174,915.82"
08/03/25,08/03/25,POS 8821XXXX1102 INDIAN OIL PUNE,demo:student:462,"3,000.00",,"171,915.82"
08/03/25,08/03/25,POS 8821XXXX3310 YOUTUBEPREMIUM GURGAON,demo:student:56,129.00,,"171,786.82"
09/03/25,09/03/25,UPI/ZOMATO/165275/PAYMENT,demo:student:356,750.00,,"171,036.82"
09/03/25,09/03/25,POS 8821XXXX1102 UBER INDIA SYSTEMS GURGAON,demo:student:535,232.80,,"170,804.02"
11/03/25,11/03/25,ACH-D- ZERODHA COIN SIP,demo:student:202,"1,000.00",,"169,804.02"
11/03/25,11/03/25,UPI/MEGHA3270@YBL/960259/PAYMENT,demo:student:298,"1,400.00",,"168,404.02"
12/03/25,12/03/25,POS 8821XXXX3310 NETFLIX.COM MUMBAI,demo:student:2,199.00,,"168,205.02"
13/03/25,13/03/25,POS 8821XXXX3310 CANVA.COM SYDNEY,demo:student:92,499.00,,"167,706.02"
14/03/25,14/03/25,MSEB BILL PAYMENT 338113,demo:student:238,980.42,,"166,725.60"
14/03/25,14/03/25,UPI/MEGHA7378@YBL/643314/PAYMENT,demo:student:584,"1,450.00",,"165,275.60"
16/03/25,16/03/25,ACH-D- HDB FINANCIAL EMI 905801,demo:student:184,"3,200.00",,"162,075.60"
17/03/25,17/03/25,UPI/ZOMATO/318811/PAYMENT,demo:student:390,442.03,,"161,633.57"
17/03/25,17/03/25,POS 8821XXXX1102 HP PETRO PUMP HYDERABAD,demo:student:494,"1,320.00",,"160,313.57"
17/03/25,17/03/25,POS 8821XXXX1102 SWIGGY BUNDL TECH DELHI,demo:student:693,441.71,,"159,871.86"
19/03/25,19/03/25,POS 8821XXXX3310 JIOSAAVN.COM MUMBAI,demo:student:38,99.00,,"159,772.86"
20/03/25,20/03/25,POS 8821XXXX1102 ZOMATO LTD BENGALURU,demo:student:779,395.51,,"159,377.35"
21/03/25,21/03/25,UPI/SWIGGY/168307/PAYMENT,demo:student:428,264.08,,"159,113.27"
21/03/25,21/03/25,NEFT-OPENAILLC-4281-RTGS,demo:student:74,"1,999.00",,"157,114.27"
22/03/25,22/03/25,CC PAYMENT AUTOPAY ICICI 2030,demo:student:220,"6,952.84",,"150,161.43"
22/03/25,22/03/25,POS 8821XXXX1102 AMAZON.IN PUNE,demo:student:297,"2,185.66",,"147,975.77"
22/03/25,22/03/25,POS 8821XXXX1102 SWIGGY BUNDL TECH MUMBAI,demo:student:681,288.59,,"147,687.18"
23/03/25,23/03/25,POS 8821XXXX1102 HP PETRO PUMP GURGAON,demo:student:292,"1,330.00",,"146,357.18"
23/03/25,23/03/25,POS 8821XXXX1102 SWIGGY BUNDL TECH MUMBAI,demo:student:323,264.15,,"146,093.03"
24/03/25,24/03/25,POS 8821XXXX1102 UBER INDIA SYSTEMS PUNE,demo:student:313,294.67,,"145,798.36"
24/03/25,24/03/25,UPI/ZOMATO/818655/PAYMENT,demo:student:585,750.00,,"145,048.36"
