Txn Date,Value Date,Narration,Chq/Ref No,Withdrawal Amt.,Deposit Amt.,Closing Balance
20/01/25,20/01/25,UPI/NETFLIX BILLDESK/552560/PAYMENT,demo:young_professional:0,649.00,,"249,351.00"
20/01/25,20/01/25,NEFT-RAMESH KUMAR-7031-RENT,demo:young_professional:118,"18,000.00",,"231,351.00"
20/01/25,20/01/25,SALARY ACME TECHNOLOGIES PVT LTD 457689,demo:young_professional:136,,"95,000.00","326,351.00"
20/01/25,20/01/25,ACH-D- HDFCLOAN EMI 266954,demo:young_professional:154,"12,450.00",,"313,901.00"
20/01/25,20/01/25,ACH-D- BAJAJFIN EMI 983276,demo:young_professional:172,"4,200.00",,"309,701.00"
20/01/25,20/01/25,UPI/SPOTIFYINDIA/552180/PAYMENT,demo:young_professional:18,119.00,,"309,582.00"
20/01/25,20/01/25,ACH-D- GROWW NIPPON INDIA MF SIP,demo:young_professional:190,"5,000.00",,"304,582.00"
20/01/25,20/01/25,CC PAYMENT AUTOPAY HDFC 2827,demo:young_professional:208,"35,783.36",,"268,798.64"
20/01/25,20/01/25,BESCOM BILL PAYMENT 442921,demo:young_professional:226,"2,168.70",,"266,629.94"
20/01/25,20/01/25,NEFT-AMAZONSELLER-3232-RTGS,demo:young_professional:255,"2,146.54",,"264,483.40"
20/01/25,20/01/25,IMPS-P2A-323379-ROHIT SHARMA,demo:young_professional:277,"2,000.00",,"262,483.40"
20/01/25,20/01/25,UPI/BHARATPETRO/710297/PAYMENT,demo:young_professional:290,"1,250.00",,"261,233.40"
20/01/25,20/01/25,IMPS-P2A-591596-ROHIT SHARMA,demo:young_professional:302,"1,000.00",,"260,233.40"
20/01/25,20/01/25,POS 4471XXXX1102 UBER INDIA SYSTEMS MUMBAI,demo:young_professional:369,324.19,,"259,909.21"
20/01/25,20/01/25,POS 4471XXXX1102 UBER INDIA SYSTEMS HYDERABAD,demo:young_professional:378,430.44,,"259,478.77"
20/01/25,20/01/25,UPI/CULTFIT/277403/PAYMENT,demo:young_professional:42,"1,499.00",,"257,979.77"
20/01/25,20/01/25,POS 4471XXXX1102 INDIAN OIL PUNE,demo:young_professional:442,"1,730.00",,"256,249.77"
20/01/25,20/01/25,POS 4471XXXX1102 SWIGGY BUNDL TECH GURGAON,demo:young_professional:443,271.08,,"255,978.69"
20/01/25,20/01/25,POS 4471XXXX1102 HP PETRO PUMP MUMBAI,demo:young_professional:466,"1,190.00",,"254,788.69"
20/01/25,20/01/25,UPI/SWIGGYUPI/654895/PAY,demo:young_professional:478,631.10,,"254,157.59"
20/01/25,20/01/25,POS 4471XXXX1102 INDIAN OIL CHENNAI,demo:young_professional:488,"2,780.00",,"251,377.59"
20/01/25,20/01/25,NEFT-AMAZONSELLER-2600-RTGS,demo:young_professional:574,"4,500.00",,"246,877.59"
20/01/25,20/01/25,UPI/ADOBEINDIA/485996/PAYMENT,demo:young_professional:60,"1,675.00",,"245,202.59"
20/01/25,20/01/25,IMPS-P2A-231030-ROHIT SHARMA,demo:young_professional:634,300.00,,"244,902.59"
20/01/25,20/01/25,ATM CASH 251933 BENGALURU,demo:young_professional:656,"4,500.00",,"240,402.59"
20/01/25,20/01/25,POS 4471XXXX1102 AMAZON.IN PUNE,demo:young_professional:660,678.96,,"239,723.63"
20/01/25,20/01/25,UPI/UBERINDIA/245625/PAYMENT,demo:young_professional:679,372.18,,"239,351.45"
20/01/25,20/01/25,POS 4471XXXX1102 IRCTC NEW DELHI,demo:young_professional:728,651.75,,"238,699.70"
20/01/25,20/01/25,UPI/UBERINDIA/576287/PAYMENT,demo:young_professional:737,265.06,,"238,434.64"
20/01/25,20/01/25,POS 4471XXXX1102 AMAZON.IN PUNE,demo:young_professional:741,"4,500.00",,"233,934.64"
20/01/25,20/01/25,IMPS-P2A-737828-ROHIT SHARMA,demo:young_professional:744,750.00,,"233,184.64"
20/01/25,20/01/25,UPI/AMAZONPAY/596768/PAYMENT,demo:young_professional:777,516.30,,"232,668.34"
20/01/25,20/01/25,UPI/GOOGLEONE/162757/PAYMENT,demo:young_professional:78,"1,300.00",,"231,368.34"
20/01/25,20/01/25,NEFT-AMAZONSELLER-3070-RTGS,demo:young_professional:785,"2,270.71",,"229,097.63"
20/01/25,20/01/25,UPI/SWIGGY/495933/PAYMENT,demo:young_professional:799,356.68,,"228,740.95"
20/01/25,20/01/25,UPI/JIOSAAVN/767588/PAYMENT,demo:young_professional:82,99.00,,"228,641.95"
21/01/25,21/01/25,UPI/HOTSTARSUB/832084/PAYMENT,demo:young_professional:36,299.00,,"228,342.95"
23/01/25,23/01/25,UPI/OPENAI/865097/PAYMENT,demo:young_professional:100,1.00,,"228,341.95"
23/01/25,23/01/25,POS 4471XXXX1102 IRCTC NEW DELHI,demo:young_professional:703,"1,051.36",,"227,290.59"
26/01/25,26/01/25,UPI/AMAZONPRIME/355386/PAYMENT,demo:young_professional:80,"1,499.00",,"225,791.59"
28/01/25,28/01/25,UPI/ZOMATO/583318/PAYMENT,demo:young_professional:402,412.45,,"225,379.14"
28/01/25,28/01/25,POS 4471XXXX1102 ZOMATO LTD MUMBAI,demo:young_professional:787,195.28,,"225,183.86"
29/01/25,29/01/25,POS 4471XXXX1102 UBER INDIA SYSTEMS HYDERABAD,demo:young_professional:314,548.79,,"224,635.07"
